,Unnamed: 0,playerID,nameFirst,nameLast,bats,throws,debut,finalGame,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,HBP,SH,SF,Years_Played,HoF,votedBy,Most Valuable Player,AS_games,Gold Glove,Rookie of the Year,World Series MVP,Silver Slugger,playerIDmstr,G_all,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,pre1920,1920-41,1942-45,1946-62,1963-76,1977-92,1993-2009,post2009,1B,SLG,OBS,OPS
3,239.0,allisdo01,Doug,Allison,R,R,1871-05-05,1883.0,318.0,1407.0,236.0,382.0,44.0,10.0,2.0,,,24.0,,,,,,10.0,,,,,,,,,allisdo01,316,1,277,2,1,0,1,0,7,54,61,0.0,316,0,0,0,0,0,0,0,326.0,0.3212508884150675,,
4,408.0,ansonca01,Cap,Anson,R,R,1871-05-06,1897.0,2524.0,10281.0,1999.0,3435.0,582.0,142.0,97.0,2075.0,,984.0,330.0,,,,,27.0,1.0,Old Timers,,,,,,,ansonca01,2524,3,105,2152,18,220,9,46,8,32,86,0.0,2524,0,0,0,0,0,0,0,2614.0,0.44664915864215543,,
11,960.0,battijo01,Joe,Battin,R,R,1871-08-11,1890.0,480.0,1953.0,228.0,439.0,51.0,25.0,3.0,,,40.0,,,,,,10.0,,,,,,,,,battijo01,480,3,2,0,125,340,5,0,9,6,15,0.0,480,0,0,0,0,0,0,0,360.0,0.28110599078341014,,
30,3966.0,cuthbne01,Ned,Cuthbert,R,R,1871-05-20,1884.0,452.0,2114.0,453.0,537.0,74.0,17.0,8.0,,,65.0,,,,,,10.0,,,,,,,,,cuthbne01,452,0,8,1,1,0,0,398,49,1,446,0.0,452,0,0,0,0,0,0,0,438.0,0.3164616840113529,,
34,5027.0,eggleda01,Dave,Eggler,R,R,1871-05-18,1885.0,576.0,2544.0,491.0,697.0,85.0,31.0,0.0,242.0,,49.0,,,,,,11.0,,,,,,,,,eggleda01,575,0,0,0,2,1,0,14,560,1,574,0.0,575,0,0,0,0,0,0,0,581.0,0.33176100628930816,,
36,5404.0,fergubo01,Bob,Ferguson,B,R,1871-05-18,1884.0,824.0,3467.0,544.0,920.0,102.0,30.0,1.0,,,128.0,,,,,,14.0,,,,,,,,,fergubo01,823,11,9,3,353,396,59,0,1,5,6,0.0,823,0,0,0,0,0,0,0,787.0,0.3129506778194404,,
44,5698.0,forceda01,Davy,Force,R,R,1871-05-05,1886.0,1029.0,4250.0,653.0,1059.0,143.0,27.0,1.0,376.0,,156.0,268.0,,,,,15.0,,,,,,,,,forceda01,1029,4,0,0,163,160,716,0,0,3,3,0.0,1029,0,0,0,0,0,0,0,888.0,0.29623529411764704,,
45,5959.0,fulmech01,Chick,Fulmer,R,R,1871-06-05,1884.0,583.0,2439.0,361.0,635.0,70.0,30.0,8.0,,,43.0,,,,,,11.0,,,,,,,,,fulmech01,582,2,1,2,88,65,430,0,1,1,2,0.0,582,0,0,0,0,0,0,0,527.0,0.3234932349323493,,
68,11122.0,mathebo01,Bobby,Mathews,R,R,1871-05-04,1887.0,623.0,2486.0,318.0,504.0,48.0,9.0,1.0,,,73.0,,,,,,15.0,,,,,,,,,mathebo01,622,577,0,0,0,9,2,5,10,66,80,0.0,622,0,0,0,0,0,0,0,446.0,0.23049074818986323,,
72,11471.0,mcgeami01,Mike,McGeary,R,R,1871-05-09,1882.0,547.0,2481.0,484.0,684.0,56.0,13.0,0.0,236.0,,26.0,60.0,,,,,11.0,,,,,,,,,mcgeami01,547,0,96,0,196,117,147,0,2,9,11,0.0,547,0,0,0,0,0,0,0,615.0,0.30874647319629184,,
84,13978.0,pikeli01,Lip,Pike,L,L,1871-05-09,1887.0,425.0,1979.0,434.0,638.0,120.0,53.0,21.0,332.0,,51.0,57.0,,,,,10.0,,,,,,,,,pikeli01,424,0,0,4,79,12,23,7,235,87,326,0.0,424,0,0,0,0,0,0,0,444.0,0.46841839312784234,,
88,14317.0,questjo01,Joe,Quest,R,R,1871-08-30,1886.0,596.0,2295.0,300.0,499.0,78.0,17.0,1.0,,,104.0,,,,,,10.0,,,,,,,,,questjo01,596,0,0,0,530,1,66,1,0,0,1,0.0,596,0,0,0,0,0,0,0,403.0,0.26753812636165575,,
99,16874.0,startjo01,Joe,Start,L,L,1871-05-18,1886.0,1070.0,4743.0,852.0,1417.0,148.0,67.0,15.0,544.0,,164.0,109.0,,,,,16.0,,,,,,,,,startjo01,1070,0,0,1069,0,0,0,1,1,3,5,0.0,1070,0,0,0,0,0,0,0,1187.0,0.36769976807927474,,
102,17268.0,suttoez01,Ezra,Sutton,R,R,1871-05-04,1888.0,1263.0,5360.0,994.0,1574.0,227.0,97.0,25.0,672.0,,169.0,182.0,,,,,18.0,,,,,,,,,suttoez01,1263,2,1,32,50,880,245,29,8,32,69,0.0,1263,0,0,0,0,0,0,0,1225.0,0.38619402985074625,,
106,18825.0,whitede01,Deacon,White,L,R,1871-05-04,1890.0,1560.0,6624.0,1140.0,2067.0,270.0,98.0,24.0,988.0,,308.0,221.0,,,,,20.0,1.0,Veterans,,,,,,,whitede01,1560,2,458,133,34,827,3,12,8,147,164,0.0,1560,0,0,0,0,0,0,0,1675.0,0.3932669082125604,,
111,19360.0,wrighge01,George,Wright,R,R,1871-05-05,1882.0,591.0,2873.0,665.0,866.0,124.0,60.0,11.0,326.0,,68.0,119.0,,,,,12.0,,,,,,,,,wrighge01,591,3,0,1,60,1,530,0,0,0,0,0.0,591,0,0,0,0,0,0,0,671.0,0.3978419770274974,,
113,19460.0,yorkto01,Tom,York,L,L,1871-05-09,1885.0,963.0,4005.0,743.0,1095.0,218.0,89.0,14.0,,,198.0,,,,,,15.0,,,,,,,,,yorkto01,962,0,0,0,0,0,0,892,34,37,962,0.0,962,0,0,0,0,0,0,0,774.0,0.38277153558052435,,
128,2270.0,burdoja01,Jack,Burdock,R,R,1872-05-02,1891.0,1187.0,4915.0,778.0,1231.0,164.0,50.0,18.0,501.0,,140.0,367.0,,,,,18.0,,,,,,,,,burdoja01,1186,0,7,0,1086,67,36,2,1,0,3,0.0,1186,0,0,0,0,0,0,0,999.0,0.31515768056968463,,
130,3125.0,clappjo01,John,Clapp,R,R,1872-04-26,1883.0,588.0,2523.0,459.0,713.0,92.0,35.0,7.0,279.0,,112.0,51.0,,,,,11.0,,,,,,,,,clappjo01,585,0,469,13,3,0,12,62,22,35,118,0.0,585,0,0,0,0,0,0,0,579.0,0.35513277843836705,,
132,3243.0,clintji01,Jim,Clinton,R,R,1872-05-18,1886.0,426.0,1719.0,246.0,438.0,45.0,20.0,4.0,,,82.0,,,,,,10.0,,,,,,,,,clintji01,423,18,2,6,8,19,2,150,204,26,380,0.0,423,0,0,0,0,0,0,0,369.0,0.3112274578243165,,
145,7948.0,hinespa01,Paul,Hines,R,R,1872-04-20,1891.0,1658.0,7062.0,1217.0,2133.0,399.0,93.0,57.0,855.0,,372.0,310.0,,,,,20.0,,,,,,,,,hinespa01,1657,1,3,193,74,18,16,68,1303,7,1376,0.0,1657,0,0,0,0,0,0,0,1584.0,0.4090909090909091,,
163,12763.0,nelsoca01,Candy,Nelson,L,R,1872-06-11,1890.0,817.0,3294.0,648.0,833.0,93.0,27.0,3.0,,,352.0,,,,,,13.0,,,,,,,,,nelsoca01,815,0,1,1,136,34,560,5,41,54,100,0.0,815,0,0,0,0,0,0,0,710.0,0.3002428658166363,,
165,13234.0,orourji01,Jim,O'Rourke,R,R,1872-04-26,1904.0,1999.0,8503.0,1729.0,2639.0,468.0,149.0,62.0,1208.0,,513.0,362.0,,,,,23.0,1.0,Old Timers,,,,,,,orourji01,1996,6,230,213,2,148,38,770,463,217,1443,,1996,0,0,0,0,0,0,0,1960.0,0.4223215335763848,,
167,14655.0,remseja01,Jack,Remsen,R,R,1872-05-02,1884.0,578.0,2353.0,366.0,573.0,69.0,39.0,9.0,,,71.0,,,,,,10.0,,,,,,,,,remseja01,577,0,0,14,0,0,0,48,514,5,565,0.0,577,0,0,0,0,0,0,0,456.0,0.3174670633234169,,
189,6277.0,gerhajo01,Joe,Gerhardt,R,R,1873-09-01,1891.0,1071.0,4140.0,493.0,939.0,122.0,55.0,7.0,,,162.0,,,,,,15.0,,,,,,,,,gerhajo01,1071,0,0,63,893,85,33,3,1,0,4,0.0,1071,0,0,0,0,0,0,0,755.0,0.28792270531400965,,
198,10867.0,mannija01,Jack,Manning,R,R,1873-04-23,1886.0,833.0,3505.0,562.0,922.0,170.0,37.0,14.0,360.0,,181.0,,,,,,12.0,,,,,,,,,mannija01,833,96,0,50,24,3,31,4,18,675,694,0.0,833,0,0,0,0,0,0,0,701.0,0.34465049928673325,,
208,16631.0,snydepo01,Pop,Snyder,R,R,1873-06-16,1891.0,930.0,3643.0,433.0,855.0,124.0,41.0,9.0,384.0,,83.0,,,,,,18.0,,,,,,,,,snydepo01,930,0,877,46,1,0,4,0,7,13,20,0.0,930,0,0,0,0,0,0,0,681.0,0.2986549547076585,,
215,1605.0,bondto01,Tommy,Bond,R,R,1874-05-05,1884.0,488.0,1975.0,213.0,471.0,53.0,11.0,0.0,,,22.0,,,,,,10.0,,,,,,,,,bondto01,488,417,0,6,3,2,0,0,3,89,92,0.0,488,0,0,0,0,0,0,0,407.0,0.27645569620253163,,
233,13822.0,peterjo01,John,Peters,R,R,1874-05-23,1884.0,615.0,2693.0,373.0,748.0,92.0,12.0,3.0,,,25.0,,,,,,11.0,,,,,,,,,peterjo01,615,1,0,0,60,0,557,0,0,1,1,0.0,615,0,0,0,0,0,0,0,641.0,0.3241737838841441,,
237,16037.0,shaffor01,Orator,Shafer,L,R,1874-05-23,1890.0,871.0,3552.0,601.0,1000.0,164.0,53.0,11.0,,,227.0,,,,,,13.0,,,,,,,,,shaffor01,871,0,0,7,7,6,0,20,31,810,854,0.0,871,0,0,0,0,0,0,0,772.0,0.3668355855855856,,
250,1805.0,bradlge01,George,Bradley,R,R,1875-05-04,1888.0,567.0,2258.0,272.0,518.0,64.0,38.0,3.0,,,40.0,,,,,,11.0,,,,,,,,,bradlge01,567,347,0,18,1,170,33,12,19,16,47,0.0,567,0,0,0,0,0,0,0,413.0,0.2953941541186891,,
252,2392.0,bushodo01,Doc,Bushong,R,R,1875-07-19,1890.0,672.0,2397.0,287.0,514.0,58.0,13.0,2.0,184.0,,124.0,,,,,,13.0,,,,,,,,,bushodo01,672,0,668,1,0,4,0,0,3,3,6,0.0,672,0,0,0,0,0,0,0,441.0,0.2519816437213183,,
254,2808.0,cassijo01,John,Cassidy,R,L,1875-04-24,1885.0,634.0,2642.0,353.0,650.0,87.0,33.0,5.0,,,84.0,,,,,,11.0,,,,,,,,,cassijo01,634,32,1,23,4,17,2,2,147,422,571,0.0,634,0,0,0,0,0,0,0,525.0,0.3096139288417865,,
266,5627.0,flintsi01,Silver,Flint,R,R,1875-05-04,1889.0,760.0,2913.0,380.0,687.0,129.0,34.0,21.0,295.0,,54.0,471.0,,,,,13.0,,,,,,,,,flintsi01,760,0,743,6,0,1,0,6,4,58,67,0.0,760,0,0,0,0,0,0,0,503.0,0.3250944043940954,,
269,6052.0,galvipu01,Pud,Galvin,R,R,1875-05-22,1892.0,731.0,2748.0,278.0,552.0,87.0,31.0,5.0,220.0,,38.0,,,,,,15.0,1.0,Veterans,,,,,,,galvipu01,731,705,0,0,0,0,2,21,24,13,57,0.0,731,0,0,0,0,0,0,0,429.0,0.26055312954876275,,
280,8866.0,jonesch01,Charley,Jones,R,R,1875-05-04,1888.0,894.0,3738.0,733.0,1114.0,172.0,102.0,56.0,552.0,,237.0,,,,,,12.0,,,,,,,,,jonesch01,894,2,0,11,0,0,0,636,247,8,885,0.0,894,0,0,0,0,0,0,0,784.0,0.4435527019796683,,
281,9133.0,keenaji01,Jim,Keenan,R,R,1875-05-17,1891.0,527.0,1881.0,254.0,451.0,60.0,36.0,22.0,,,177.0,,,,,,11.0,,,,,,,,,keenaji01,527,4,406,105,0,10,2,1,1,11,13,0.0,527,0,0,0,0,0,0,0,333.0,0.34502923976608185,,
337,8058.0,holbebi01,Bill,Holbert,R,R,1876-09-05,1888.0,623.0,2335.0,182.0,486.0,41.0,7.0,0.0,,,58.0,,,,,,12.0,,,,,,,,,holbebi01,623,0,538,8,2,17,4,12,19,38,69,0.0,623,0,0,0,0,0,0,0,438.0,0.2316916488222698,,
342,12384.0,morrijo01,John,Morrill,R,R,1876-04-24,1890.0,1265.0,4912.0,821.0,1275.0,239.0,80.0,43.0,643.0,,358.0,656.0,,,,,15.0,,,,,,,,,morrijo01,1265,18,23,916,105,138,61,2,12,12,26,0.0,1265,0,0,0,0,0,0,0,913.0,0.36706026058631924,,
356,4650.0,dorgami01,Mike,Dorgan,R,R,1877-05-08,1890.0,715.0,2924.0,443.0,802.0,112.0,34.0,4.0,346.0,,118.0,,,,,,10.0,,,,,,,,,dorgami01,715,18,28,54,5,17,9,29,17,556,600,0.0,715,0,0,0,0,0,0,0,652.0,0.3399452804377565,,
373,18872.0,whitewi01,Will,White,B,R,1877-07-20,1886.0,403.0,1478.0,167.0,271.0,28.0,7.0,1.0,111.0,,56.0,,,,,,10.0,,,,,,,,,whitewi01,403,403,0,0,0,0,0,0,0,5,5,0.0,403,0,0,0,0,0,0,0,235.0,0.21380243572395127,,
374,1190.0,bennech01,Charlie,Bennett,R,R,1878-05-01,1893.0,1062.0,3821.0,549.0,978.0,203.0,67.0,55.0,533.0,,478.0,572.0,,,,,15.0,,,,,,,,,bennech01,1062,0,954,4,23,27,6,25,25,20,70,0.0,1062,0,0,0,0,0,0,0,653.0,0.38733315885893743,,
378,4008.0,dalryab01,Abner,Dalrymple,L,R,1878-05-01,1891.0,951.0,4172.0,813.0,1202.0,217.0,81.0,43.0,407.0,,204.0,359.0,,,,,12.0,,,,,,,,,dalryab01,951,0,0,0,0,0,0,944,2,5,951,0.0,951,0,0,0,0,0,0,0,861.0,0.4098753595397891,,
381,7239.0,hankifr01,Frank,Hankinson,R,R,1878-05-01,1888.0,849.0,3272.0,410.0,747.0,122.0,39.0,13.0,344.0,,170.0,,,,,,10.0,,,,,,,,,hankifr01,849,32,0,2,13,764,10,26,8,1,35,0.0,849,0,0,0,0,0,0,0,573.0,0.30134474327628363,,
384,9200.0,kellyki01,King,Kelly,R,R,1878-05-01,1893.0,1456.0,5896.0,1357.0,1813.0,359.0,102.0,69.0,950.0,,549.0,418.0,,,,,16.0,1.0,Old Timers,,,,,,,kellyki01,1456,12,584,25,54,96,90,2,8,742,750,0.0,1456,0,0,0,0,0,0,0,1283.0,0.4380936227951153,,
386,11365.0,mccorji01,Jim,McCormick,R,R,1878-05-20,1887.0,534.0,2082.0,246.0,491.0,66.0,22.0,4.0,,,22.0,,,,,,10.0,,,,,,,,,mccorji01,534,492,0,5,1,1,0,12,27,13,52,0.0,534,0,0,0,0,0,0,0,399.0,0.29442843419788667,,
392,18514.0,wardjo01,John,Ward,L,R,1878-07-15,1894.0,1827.0,7656.0,1410.0,2107.0,231.0,96.0,26.0,869.0,,421.0,326.0,,,,,17.0,1.0,Veterans,,,,,,,wardjo01,1827,293,0,0,493,46,826,4,110,100,214,0.0,1827,0,0,0,0,0,0,0,1754.0,0.3406478578892372,,
394,19035.0,willine01,Ned,Williamson,R,R,1878-05-01,1890.0,1201.0,4553.0,809.0,1159.0,228.0,85.0,64.0,667.0,,506.0,532.0,,,,,13.0,,,,,,,,,willine01,1201,12,34,6,7,716,450,0,0,0,0,0.0,1201,0,0,0,0,0,0,0,782.0,0.38414232374258733,,
397,2031.0,broutda01,Dan,Brouthers,L,L,1879-06-23,1904.0,1676.0,6726.0,1529.0,2303.0,462.0,206.0,107.0,1301.0,,840.0,238.0,,,,,19.0,1.0,Old Timers,,,,,,,broutda01,1676,4,0,1636,0,2,0,33,0,2,35,,1676,0,0,0,0,0,0,0,1528.0,0.52007136485281,,
399,2705.0,carpehi01,Hick,Carpenter,R,L,1879-05-01,1892.0,1118.0,4637.0,720.0,1202.0,142.0,47.0,18.0,543.0,,112.0,,,,,,12.0,,,,,,,,,carpehi01,1118,0,0,45,3,1059,1,0,0,12,12,0.0,1118,0,0,0,0,0,0,0,995.0,0.3217597584645245,,
406,5347.0,farreja02,Jack,Farrell,R,R,1879-05-01,1889.0,884.0,3613.0,584.0,877.0,148.0,55.0,23.0,370.0,,197.0,254.0,,,,,11.0,,,,,,,,,farreja02,884,0,0,0,740,3,144,0,3,0,3,0.0,884,0,0,0,0,0,0,0,651.0,0.33324107389980623,,
409,6398.0,gilliba01,Barney,Gilligan,R,R,1875-09-25,1888.0,521.0,1865.0,215.0,386.0,68.0,23.0,3.0,167.0,,147.0,235.0,,,,,10.0,,,,,,,,,gilliba01,521,0,458,1,1,2,27,23,14,7,44,0.0,521,0,0,0,0,0,0,0,292.0,0.27292225201072384,,
410,6450.0,glassja01,Jack,Glasscock,R,R,1879-05-01,1895.0,1737.0,7033.0,1164.0,2041.0,313.0,98.0,27.0,,,440.0,,,,,,17.0,,,,,,,,,glassja01,1737,5,0,5,86,15,1629,0,0,1,1,0.0,1737,0,0,0,0,0,0,0,1603.0,0.37409355893644247,,
411,6646.0,gorege01,George,Gore,L,R,1879-05-01,1892.0,1310.0,5357.0,1327.0,1612.0,262.0,94.0,46.0,618.0,,717.0,332.0,,,,,14.0,,,,,,,,,gorege01,1310,0,0,17,0,1,0,96,1175,31,1297,0.0,1310,0,0,0,0,0,0,0,1210.0,0.4106776180698152,,
418,8176.0,hornujo01,Joe,Hornung,R,R,1879-05-01,1890.0,1123.0,4784.0,787.0,1230.0,172.0,90.0,31.0,564.0,,120.0,498.0,,,,,12.0,,,,,,,,,hornujo01,1123,1,0,62,5,7,2,1051,1,5,1054,0.0,1123,0,0,0,0,0,0,0,937.0,0.35012541806020064,,
437,13890.0,phillbi01,Bill,Phillips,R,R,1879-05-01,1888.0,1038.0,4255.0,562.0,1130.0,214.0,98.0,17.0,534.0,,178.0,,,,,,10.0,,,,,,,,,phillbi01,1038,0,12,1032,0,0,0,0,1,1,2,0.0,1038,0,0,0,0,0,0,0,801.0,0.3739130434782609,,
438,14280.0,purcebl01,Blondie,Purcell,R,R,1879-05-01,1890.0,1097.0,4563.0,767.0,1217.0,177.0,60.0,13.0,495.0,,284.0,,,,,,12.0,,,,,,,,,purcebl01,1097,79,1,1,0,47,4,480,92,430,995,0.0,1097,0,0,0,0,0,0,0,967.0,0.3403462634231865,,
440,14776.0,richaha01,Hardy,Richardson,R,R,1879-05-01,1892.0,1334.0,5657.0,1127.0,1694.0,305.0,126.0,73.0,828.0,,377.0,446.0,,,,,14.0,,,,,,,,,richaha01,1334,5,6,16,585,178,21,378,158,11,547,0.0,1334,0,0,0,0,0,0,0,1190.0,0.43662718755524127,,
442,15292.0,roweja01,Jack,Rowe,L,R,1879-09-06,1890.0,1044.0,4386.0,764.0,1256.0,202.0,88.0,28.0,644.0,,224.0,177.0,,,,,12.0,,,,,,,,,roweja01,1044,0,298,0,0,20,657,47,32,26,103,0.0,1044,0,0,0,0,0,0,0,938.0,0.39170086639306884,,
453,2345.0,burnsto01,Tom,Burns,R,R,1880-05-01,1892.0,1251.0,4920.0,722.0,1307.0,236.0,69.0,39.0,683.0,,270.0,454.0,,,,,13.0,,,,,,,,,burnsto01,1251,1,2,0,66,704,474,10,2,2,14,0.0,1251,0,0,0,0,0,0,0,963.0,0.3654471544715447,,
454,3466.0,connoro01,Roger,Connor,B,L,1880-05-01,1897.0,1998.0,7797.0,1620.0,2467.0,441.0,233.0,138.0,1323.0,,1002.0,455.0,,,,,18.0,1.0,Veterans,,,,,,,connoro01,1998,0,0,1759,68,111,0,5,56,1,62,0.0,1998,0,0,0,0,0,0,0,1655.0,0.4858278825189175,,
460,4851.0,dunlafr01,Fred,Dunlap,R,R,1880-05-01,1891.0,965.0,3974.0,759.0,1159.0,224.0,53.0,41.0,,,283.0,,,,,,12.0,,,,,,,,,dunlafr01,965,2,0,0,963,1,0,0,1,2,3,0.0,965,0,0,0,0,0,0,0,841.0,0.40563663814796175,,
461,5213.0,esterdu01,Dude,Esterbrook,R,R,1880-05-01,1891.0,701.0,2837.0,387.0,741.0,120.0,34.0,6.0,,,70.0,,,,,,11.0,,,,,,,,,esterdu01,701,0,1,194,12,419,7,40,24,12,75,0.0,701,0,0,0,0,0,0,0,581.0,0.33380331335918223,,
462,5270.0,ewingbu01,Buck,Ewing,R,R,1880-09-09,1897.0,1315.0,5363.0,1129.0,1625.0,250.0,178.0,71.0,883.0,,392.0,294.0,,,,,18.0,1.0,Old Timers,,,,,,,ewingbu01,1315,9,636,253,51,127,34,9,34,193,235,0.0,1315,0,0,0,0,0,0,0,1126.0,0.4557150848405743,,
466,7243.0,hanlone01,Ned,Hanlon,L,R,1880-05-01,1892.0,1270.0,5087.0,931.0,1318.0,159.0,79.0,30.0,518.0,,472.0,357.0,,,,,13.0,,,,,,,,,hanlone01,1270,0,0,0,13,0,7,119,1133,1,1254,0.0,1270,0,0,0,0,0,0,0,1050.0,0.3390996658148221,,
467,8498.0,irwinar01,Arthur,Irwin,L,R,1880-05-01,1894.0,1010.0,3871.0,552.0,934.0,141.0,45.0,5.0,396.0,,309.0,378.0,,,,,13.0,,,,,,,,,irwinar01,1010,2,1,0,9,56,947,0,0,0,0,0.0,1010,0,0,0,0,0,0,0,743.0,0.30483079307672434,,
469,9127.0,keefeti01,Tim,Keefe,R,R,1880-08-06,1893.0,618.0,2083.0,248.0,390.0,60.0,38.0,12.0,,,175.0,,,,,,14.0,1.0,Veterans,,,,,,,keefeti01,618,600,0,0,1,3,0,2,16,3,21,0.0,618,0,0,0,0,0,0,0,280.0,0.2698031685069611,,
470,9920.0,lathaar01,Arlie,Latham,R,R,1880-07-05,1909.0,1629.0,6832.0,1481.0,1836.0,245.0,85.0,27.0,,,589.0,,,,,,17.0,,,,,,,,,lathaar01,1629,0,8,3,24,1573,13,2,0,11,13,0.0,1629,0,0,0,0,0,0,0,1479.0,0.34133489461358313,,
476,14365.0,radboch01,Old Hoss,Radbourn,R,R,1880-05-05,1891.0,653.0,2487.0,308.0,585.0,64.0,11.0,9.0,259.0,,158.0,244.0,,,,,12.0,1.0,Old Timers,,,,,,,radboch01,653,527,0,8,6,2,16,15,12,93,119,0.0,653,0,0,0,0,0,0,0,501.0,0.28065942903096097,,
477,14622.0,reilljo01,John,Reilly,R,R,1880-05-18,1891.0,1142.0,4684.0,898.0,1352.0,215.0,139.0,69.0,740.0,,157.0,,,,,,10.0,,,,,,,,,reilljo01,1142,0,0,1075,0,0,1,27,27,24,78,0.0,1142,0,0,0,0,0,0,0,929.0,0.4380871050384287,,
478,16542.0,smithpo01,Pop,Smith,R,R,1880-05-01,1891.0,1112.0,4238.0,643.0,941.0,141.0,87.0,24.0,,,325.0,,,,,,12.0,,,,,,,,,smithpo01,1112,3,1,0,713,52,336,2,6,6,14,0.0,1112,0,0,0,0,0,0,0,689.0,0.31335535630014155,,
479,16663.0,sommejo01,Joe,Sommer,R,R,1880-07-08,1890.0,920.0,3675.0,617.0,911.0,109.0,42.0,11.0,,,238.0,,,,,,10.0,,,,,,,,,sommejo01,920,6,1,2,48,124,43,567,15,132,713,0.0,920,0,0,0,0,0,0,0,749.0,0.3093877551020408,,
481,17067.0,stoveha01,Harry,Stovey,R,R,1880-05-01,1893.0,1489.0,6153.0,1495.0,1775.0,348.0,176.0,122.0,912.0,,664.0,,,,,,14.0,,,,,,,,,stoveha01,1489,4,0,550,0,0,0,519,176,254,947,0.0,1489,0,0,0,0,0,0,0,1129.0,0.4617259873232569,,
485,18694.0,welchmi01,Mickey,Welch,R,R,1880-05-01,1892.0,607.0,2201.0,268.0,492.0,93.0,16.0,12.0,202.0,,82.0,329.0,,,,,13.0,1.0,Veterans,,,,,,,welchmi01,607,565,0,0,0,0,0,5,34,21,59,0.0,607,0,0,0,0,0,0,0,371.0,0.29668332576101775,,
486,18882.0,whitnar01,Art,Whitney,R,R,1880-05-01,1891.0,978.0,3681.0,475.0,820.0,89.0,32.0,6.0,,,302.0,,,,,,11.0,,,,,,,,,whitnar01,978,5,0,0,4,802,168,3,1,0,4,0.0,978,0,0,0,0,0,0,0,693.0,0.26922032056506384,,
488,19279.0,woodge01,George,Wood,L,R,1880-05-01,1892.0,1280.0,5371.0,965.0,1467.0,228.0,132.0,68.0,601.0,,418.0,547.0,,,,,13.0,,,,,,,,,woodge01,1280,5,0,1,3,30,21,1192,5,36,1232,0.0,1280,0,0,0,0,0,0,0,1039.0,0.4027183019921802,,
490,4367.0,dennyje01,Jerry,Denny,R,R,1881-05-02,1894.0,1237.0,4946.0,714.0,1286.0,238.0,76.0,74.0,667.0,,173.0,602.0,,,,,13.0,,,,,,,,,dennyje01,1237,1,1,21,17,1109,86,1,2,7,9,0.0,1237,0,0,0,0,0,0,0,898.0,0.38374443995147595,,
497,12492.0,mullato01,Tony,Mullane,B,,1881-08-27,1894.0,784.0,2720.0,407.0,661.0,99.0,38.0,8.0,,,221.0,,,,,,13.0,,,,,,,,,mullato01,784,555,0,38,9,52,12,57,59,39,154,0.0,784,0,0,0,0,0,0,0,516.0,0.3161764705882353,,
499,12863.0,nicolhu01,Hugh,Nicol,R,R,1881-05-03,1890.0,888.0,3465.0,631.0,813.0,91.0,29.0,5.0,,,337.0,,,,,,10.0,,,,,,,,,nicolhu01,888,0,0,0,58,5,22,3,20,802,823,0.0,888,0,0,0,0,0,0,0,688.0,0.28196248196248197,,
508,18884.0,whitnji01,Jim,Whitney,L,R,1881-05-02,1890.0,550.0,2144.0,316.0,559.0,113.0,39.0,18.0,280.0,,161.0,,,,,,10.0,,,,,,,,,whitnji01,550,413,0,31,0,2,0,5,74,52,130,0.0,550,0,0,0,0,0,0,0,389.0,0.375,,
509,19202.0,wisesa01,Sam,Wise,L,R,1881-07-30,1893.0,1175.0,4715.0,834.0,1281.0,221.0,112.0,48.0,672.0,,389.0,643.0,,,,,12.0,,,,,,,,,wisesa01,1175,0,0,62,448,57,563,12,0,36,48,0.0,1175,0,0,0,0,0,0,0,900.0,0.39660657476139977,,
515,2119.0,brownpe01,Pete,Browning,R,R,1882-05-02,1894.0,1183.0,4820.0,954.0,1646.0,295.0,85.0,46.0,,,466.0,,,,,,13.0,,,,,,,,,brownpe01,1183,1,0,26,49,75,44,477,490,35,998,0.0,1183,0,0,0,0,0,0,0,1220.0,0.466597510373444,,
516,2129.0,brownto01,Tom,Brown,L,R,1882-07-06,1898.0,1791.0,7387.0,1524.0,1958.0,240.0,138.0,64.0,742.0,,749.0,,,,,,17.0,,,,,,,,,brownto01,1791,12,0,0,0,0,0,96,1101,593,1788,0.0,1791,0,0,0,0,0,0,0,1516.0,0.3609042913225938,,
517,2228.0,buffich01,Charlie,Buffinton,R,R,1882-05-17,1892.0,586.0,2214.0,245.0,543.0,67.0,16.0,7.0,255.0,,91.0,114.0,,,,,11.0,,,,,,,,,buffich01,586,414,0,68,0,0,0,16,47,78,137,0.0,586,0,0,0,0,0,0,0,453.0,0.2994579945799458,,
520,2733.0,carrocl01,Cliff,Carroll,B,R,1882-08-03,1893.0,991.0,3972.0,729.0,995.0,125.0,47.0,31.0,423.0,,361.0,290.0,,,,,11.0,,,,,,,,,carrocl01,991,0,0,0,0,0,0,731,4,260,991,0.0,991,0,0,0,0,0,0,0,792.0,0.3290533736153072,,
522,3165.0,clarkjo01,John,Clarkson,R,R,1882-05-02,1894.0,546.0,1974.0,254.0,432.0,73.0,26.0,24.0,232.0,,81.0,382.0,,,,,12.0,1.0,Veterans,,,,,,,clarkjo01,546,531,0,2,0,4,0,4,1,20,27,0.0,546,0,0,0,0,0,0,0,309.0,0.31864235055724416,,
